VD;VD_AP;VD_0S;VD_HAP;VD_0AP;VD_HS;CONT.PREC;OCORRENCIA;CONT.SEGUINTE;ITEM.LEXICAL;TRANSC.FONOLOGICA;CONT.FON.PREC;CFP_abertura;CFP_anterioridade;CFP_tracoposicao1;CFP_tracoposicao2;CONT.FON.SEG;CFS_pontoc;CFS_sonor;TONICIDADE;POSICAO.S;CLASSE.MORFOLOGICA;CLASSE.MORFOLOGICA2;CLASSE.MORFOLOGICA3;MORFEMA.PLURAL;MORFEMA.PLURAL2;MUDANCA.SENTIDO;ESTILO;ARQUIVO;ANO.ENTREVISTA;LOCALIZACAO;PERFIL;ESTADO;PARTICIPANTE;SEXO;IDADE;FAIXA.ETARIA;ESCOLARIDADE;ESCOLARIDADE2;OCUPACAO;INDICE.SOCIO;CLASSE.SOCIAL;CLASSE.SOCIAL.BC;CLASSE.SOCIAL.BCC;IDADE.MIGRACAO;IDADE.MIGRACAO2;TEMPO.SP;TEMPO.SP2;PROP.VIDA.SP;PROP.VIDA.SP2;CID.ORIGEM;CID.RESIDENCIA;MOTIVO;AMIGOS;VIZINHOS;COLEGAS.ESTADO;COLEGAS.NE;COMIDA;MUSICA;CONVERSA;VOLTA;ONDE.MORARIA;ESTADUALIDADE;PAULISTIDADE;NORDESTINIDADE;DIF.SP;DIF.NE;DIF.FALAR;IMOVEL;PROPRIEDADE;NQUARTOS;NBANHEIROS;NPESSOAS;NRENDA;RENDA.IND;RENDA.FAM;ESCOLA.PAI;OCUPACAO.PAI;ESCOLA.MAE;OCUPACAO.MAE;QUALIDADE.GRAV;NATURALIDADE.GRAV;PONTUACAO;DOCUMENTADOR;DURACAO;INDICE.REDE.EST;INDICE.REDE.NE;INDICE.HABITOS
A;A;S;AP;AP;S;um | S fazer o seu;esforço <A>;né | S eu falei;esforço;e$-'for-so;e;meia.fechada;anterior;mais.anterior;menos.posterior;f;dorsal.labial;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:29:19.863;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;é assim | S (eu já;esfriei <A>;) | S 'órgão' |;esfriei;e$-fRi-'ej;e;meia.fechada;anterior;mais.anterior;menos.posterior;f;dorsal.labial;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;ALCP_2017MB-_JosueA;2017;00:29:19.863;MB-;AL;JosueA;masculino;23;1a;fund2;fund;cozinheiro;2,09;C2;baixa;media;22;20+;2;9-;9;ate1quarto;Campo Grande;Campinas;trabalho;maioria;nao;varios;varios;tododia;as.vezes;todo.dia;1xano;outro;10;2;10;10;0;9;casa;NC;3+;1;4;2;1a2SM;1SM;medio;Agricultor;analfabeto;Agricultora;2-ruidoalto;5;88;Fernanda Guirelli;00h45min36seg;10;12;9
A;A;S;AP;AP;S;entrei nessa nessa empresa trabalhando como;espaçamento <A>;de orquídeas <A> de flores;espaçamento;e$-pa-sa-'mE-to;e;meia.fechada;anterior;mais.anterior;menos.posterior;p;dorsal.labial;surda;atona;medial;substantivo;substantivo;lexical;nao;nao;nao;conversa;ALCP_2018MA-_FabianoJ;2018;00:29:23.522;MA-;AL;FabianoJ;masculino;22;1a;medio;medio.superior;manutenção de estufa;2;D;baixa;baixa;19;19-;2;9-;9;ate1quarto;Girau do Ponciano;Holambra;trabalho;maioria;alguns;alguns;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;9;1;10;5;3;8;casa;alugado;3+;NC;4;3;1SM;2a4SM;NC;pedreiro;NC;donadecasa;2-ruidoalto;5;91;Andreza Parra;00h58min30seg;9;9;11
A;A;S;AP;AP;S;espaço dela | S é o;espaço <A>;| D1 lá é mais;espaço;e$-'pa-so;e;meia.fechada;anterior;mais.anterior;menos.posterior;p;dorsal.labial;surda;atona;medial;substantivo;substantivo;lexical;nao;nao;nao;conversa;PBCP_2017FA+_MilenaP;2017;00:29:25.925;FA+;PB;MilenaP;feminino;46;2a.3a;medio;medio.superior;Confeiteira;2,94;C1;media;media;17;19-;31;10+;67;maismetade;Campo Grande;Campinas;trabalho;metade;nao;nao;nao;nunca;nunca;1xsemana;menos1xano;outro;8;7;5;9;0;6;casa;alugado;3+;2;1;1;2a4SM;2a4SM;NC;funcionáriopublico,atualmenteaposentado;NC;costureira,atualmenteaposentado;5-ruidopouco;5;98;Fernanda Guirelli;00h53min19seg;4;4;3
A;A;S;AP;AP;S;e acaba tomando um pouco o;espaço <A>;deles <A> | S mas;espaço;e$-'pa-so;e;meia.fechada;anterior;mais.anterior;menos.posterior;p;dorsal.labial;surda;atona;medial;substantivo;substantivo;lexical;nao;nao;nao;conversa;PBCP_2018FA+_AmandaP;2018;00:29:28.831;FA+;PB;AmandaP;feminino;38;2a.3a;medio;medio.superior;Porteira;2;D;baixa;baixa;11;19-;27;10+;71;maismetade;Soledade;Paulinia;familia;nenhum;nao;nao;alguns;tododia;sempre;1xmes;nunca;outro;9;2;9;8;2;7;casa;proprio;2;1;3;2;1a2SM;4a10SM;analfabeto;Aposentado;analfabeto;Aposentada;4-ruidobaixo;5;96;Fernanda Guirelli;00h49min48seg;6;6;6
A;A;S;AP;AP;S;mais espalhado? | S mais <A>;espalhada <A>;| D1 é bem espalhado;espalhada;e$-pa-'La-da;e;meia.fechada;anterior;mais.anterior;menos.posterior;p;dorsal.labial;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2018FA-_ValentinaM;2018;00:29:53.309;FA-;PB;ValentinaM;feminino;19;1a;medio;medio.superior;Dona de casa;1,5;E;baixa;baixa;15;19-;5;9-;26;de1a2quartos;João Pessoa;Campinas;familia;maioria;nao;NA;NA;1xmes;sempre;todo.dia;1xano;SP;10;5;0;10;7;10;casa;alugado;1;1;5;1;1SM;1SM;NC;NC;NC;NC;2-ruidoalto;3;81;Marina Russo;00h41min55seg;4;6;8
A;A;S;AP;AP;S;eu acho eu acho que é;espalhado <A>;porque em todo canto tem;espalhado;e$-pa-'La-do;e;meia.fechada;anterior;mais.anterior;menos.posterior;p;dorsal.labial;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2017FB-_LucimaraF;2017;00:30:07.300;FB-;AL;LucimaraF;feminino;38;2a.3a;medio;medio.superior;Dona de casa;1,63;D;baixa;baixa;35;20+;3;9-;8;ate1quarto;Arapiraca;Campinas;familia;maioria;nao;nao;nao;tododia;as.vezes;1xmes;menos1xano;estado.origem;10;0;10;7;3;10;casa;proprio;2;2;4;2;NC;1a2SM;NC;Agricultor;NC;Agricultora;3-ruidomedio;5;93;Fernanda Guirelli;00h53min21seg;9;9;8
A;A;S;AP;AP;S;S aí é muito/ é muito;espalhado <A>;| D1 espalhado | S;espalhado;e$-pa-'La-do;e;meia.fechada;anterior;mais.anterior;menos.posterior;p;dorsal.labial;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2017MA-_WellingtonF;2017;00:30:32.591;MA-;AL;WellingtonF;masculino;21;1a;medio;medio.superior;Garçom;2,67;C1;media;media;19;19-;2;9-;10;ate1quarto;Arapiraca;Campinas;trabalho;maioria;nao;varios;varios;tododia;sempre;todo.dia;1xano;outro;10;1;10;9;0;10;outro;alugado;2;1;6+;NC;1a2SM;NC;NC;NC;NC;NC;3-ruidomedio;5;84;Fernanda Guirelli;00h47min40seg;13;13;10
A;A;S;AP;AP;S;| S estão <E> todos <A>;espalhado <A>;| D1 não tem um;espalhado;e$-pa-'La-do;e;meia.fechada;anterior;mais.anterior;menos.posterior;p;dorsal.labial;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2018MB-_RicardoR;2018;00:30:40.068;MB-;AL;RicardoR;masculino;27;1a;fund2;fund;Balconista de bar;1,92;D;baixa;baixa;23;20+;0;9-;0;ate1quarto;Arapiraca;Holambra;trabalho;maioria;varios;varios;nao;nunca;sempre;1xmes;1xano;estado.origem;9;3;10;10;8;10;outro;alugado;2;1;2;1;1a2SM;1a2SM;analfabeto;NC;analfabeto;agricultora;2-ruidoalto;5;94;Marina Russo;00h48min14seg;8;10;7
A;A;S;AP;AP;S;| S acho que está <E>;espalhado <A>;| D1 e | D1;espalhado;e$-pa-'La-do;e;meia.fechada;anterior;mais.anterior;menos.posterior;p;dorsal.labial;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FA+_GiovanaC;2017;00:30:45.438;FA+;PB;GiovanaC;feminino;43;2a.3a;fund2;fund;Diarista;2,17;C2;baixa;media;18;19-;22;10+;51;maismetade;Soledade;Paulinia;trabalho;maioria;alguns;nao;nao;nunca;nunca;todo.dia;menos1xano;outro;10;0;10;10;5;10;casa;proprio;3+;2;3;3;2a4SM;4a10SM;NC;Falecido;NC;Falecida;3-ruidomedio;5;96;Fernanda Guirelli;00h47min19seg;10;10;4
A;A;S;AP;AP;S;eu/ eu eles <A> são muito;espalhado <A>;em cada bairro eu conheço;espalhado;e$-pa-'La-do;e;meia.fechada;anterior;mais.anterior;menos.posterior;p;dorsal.labial;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_MarisaR;2017;00:30:49.474;FB+;PB;MarisaR;feminino;45;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;19;19-;26;10+;58;maismetade;Soledade;Paulinia;familia;maioria;varios;nao;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;10;6;10;10;8;10;casa;proprio;2;2;5;1;1a2SM;1a2SM;NC;Aposentado;NC;Aposentada;3-ruidomedio;5;94;Fernanda Guirelli;00h43min59seg;9;11;11
