VD;VD_AP;VD_0S;VD_HAP;VD_0AP;VD_HS;CONT.PREC;OCORRENCIA;CONT.SEGUINTE;ITEM.LEXICAL;TRANSC.FONOLOGICA;CONT.FON.PREC;CFP_abertura;CFP_anterioridade;CFP_tracoposicao1;CFP_tracoposicao2;CONT.FON.SEG;CFS_pontoc;CFS_sonor;TONICIDADE;POSICAO.S;CLASSE.MORFOLOGICA;CLASSE.MORFOLOGICA2;CLASSE.MORFOLOGICA3;MORFEMA.PLURAL;MORFEMA.PLURAL2;MUDANCA.SENTIDO;ESTILO;ARQUIVO;ANO.ENTREVISTA;LOCALIZACAO;PERFIL;ESTADO;PARTICIPANTE;SEXO;IDADE;FAIXA.ETARIA;ESCOLARIDADE;ESCOLARIDADE2;OCUPACAO;INDICE.SOCIO;CLASSE.SOCIAL;CLASSE.SOCIAL.BC;CLASSE.SOCIAL.BCC;IDADE.MIGRACAO;IDADE.MIGRACAO2;TEMPO.SP;TEMPO.SP2;PROP.VIDA.SP;PROP.VIDA.SP2;CID.ORIGEM;CID.RESIDENCIA;MOTIVO;AMIGOS;VIZINHOS;COLEGAS.ESTADO;COLEGAS.NE;COMIDA;MUSICA;CONVERSA;VOLTA;ONDE.MORARIA;ESTADUALIDADE;PAULISTIDADE;NORDESTINIDADE;DIF.SP;DIF.NE;DIF.FALAR;IMOVEL;PROPRIEDADE;NQUARTOS;NBANHEIROS;NPESSOAS;NRENDA;RENDA.IND;RENDA.FAM;ESCOLA.PAI;OCUPACAO.PAI;ESCOLA.MAE;OCUPACAO.MAE;QUALIDADE.GRAV;NATURALIDADE.GRAV;PONTUACAO;DOCUMENTADOR;DURACAO;INDICE.REDE.EST;INDICE.REDE.NE;INDICE.HABITOS
A;A;S;AP;AP;S;que são bem pouco menos <A>;acessíveis <A>;| S Artur Nogueira tem;acessíveis;a-se-'si-vej$;j;fechada;anterior;mais.anterior;menos.posterior;#;#;#;atona;final;adverbio;adverbio;lexical;sim;sim;nao;conversa;ALCP_2018MA-_FabianoJ;2018;00:20:04.061;MA-;AL;FabianoJ;masculino;22;1a;medio;medio.superior;manutenção de estufa;2;D;baixa;baixa;19;19-;2;9-;9;ate1quarto;Girau do Ponciano;Holambra;trabalho;maioria;alguns;alguns;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;9;1;10;5;3;8;casa;alugado;3+;NC;4;3;1SM;2a4SM;NC;pedreiro;NC;donadecasa;2-ruidoalto;5;91;Andreza Parra;00h58min30seg;9;9;11
A;A;S;AP;AP;S;né? | S são pessoas <A>;acolhedoras <A>;porque como eu estou <E>;acolhedoras;a-ko-Le-'do-Ra$;a;aberta;central;menos.anterior;menos.posterior;p;dorsal.labial;surda;atona;final;adjetivo;adjetivo;lexical;sim;sim;nao;conversa;PBCP_2018FB-_LucianaB;2018;00:20:06.247;FB-;PB;LucianaB;feminino;27;1a;superior;medio.superior;Operadora de caixa;2,38;C2;baixa;media;22;20+;6;9-;22;ate1quarto;Sousa;Campinas;familia;maioria;nao;varios;nao;1xmes;sempre;todo.dia;nunca;outro;10;8;10;7;6;10;casa;proprio;1;1;3;2;1a2SM;1a2SM;analfabeto;Agricultor;analfabeto;Agricultora;5-ruidopouco;5;95;Marina Russo;01h00min39seg;11;11;6
A;A;S;AP;AP;S;<A> pessoas <A> são mais <A>;acomodadas <A>;| S minha opinião |;acomodadas;a-ko-mo-'da-da$;a;aberta;central;menos.anterior;menos.posterior;#;#;#;atona;final;adjetivo;adjetivo;lexical;sim;sim;nao;conversa;PBCP_2018FA+_RitaS;2018;00:20:09.258;FA+;PB;RitaS;feminino;40;2a.3a;medio;medio.superior;Administradora (trabalha em casa);2,25;C2;baixa;media;9;19-;29;10+;73;maismetade;Soledade;Paulinia;familia;metade;nao;nao;nao;1xsemana;sempre;1xsemana;nunca;outro;7;7;7;10;8;6;casa;proprio;3+;2;2;1;1a2SM;1a2SM;NC;Aposentado;NC;Donadecasa;5-ruidopouco;5;94;Fernanda Guirelli;00h48min47seg;6;6;6
P;P;S;AP;AP;S;não usa e a gente se;acostuma <P>;usar aqui né? | D1;acostuma;a-ko$-'tu-ma;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_MarisaR;2017;00:20:16.640;FB+;PB;MarisaR;feminino;45;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;19;19-;26;10+;58;maismetade;Soledade;Paulinia;familia;maioria;varios;nao;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;10;6;10;10;8;10;casa;proprio;2;2;5;1;1a2SM;1a2SM;NC;Aposentado;NC;Aposentada;3-ruidomedio;5;94;Fernanda Guirelli;00h43min59seg;9;11;11
P;P;S;AP;AP;S;tempo aqui a gente entende que;acostuma <P>;mesmo <A> | S mas;acostuma;a-ko$-'tu-ma;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2018MA-_JonasP;2018;00:20:20.021;MA-;PB;JonasP;masculino;23;1a;medio;medio.superior;Agricultor;2,17;C2;baixa;media;17;19-;6;9-;26;de1a2quartos;Nova Holinda;EngenheiroCoelho;trabalho;maioria;varios;alguns;alguns;tododia;nunca;todo.dia;menos1xano;estado.origem;10;0;10;10;9;10;casa;alugado;2;1;3;2;1a2SM;1a2SM;NC;NC;NC;NC;3-ruidomedio;5;91;Marina Russo;00h52min16seg;10;10;9
A;A;S;AP;AP;S;essa né | S mas <0>;acostuma <A>;viu a gente acostuma <P>;acostuma;a-ko$-'tu-ma;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2018MB+_MatheusA;2018;00:20:20.021;MB+;PB;MatheusA;masculino;50;2a.3a;fund1;fund;Trabalha com a parte industrial em empresa;2,17;C2;baixa;media;20;20+;30;10+;60;maismetade;Soledade;Paulinia;trabalho;metade;alguns;nao;alguns;1xmes;nunca;todo.dia;1xano;estado.origem;9;9;10;8;3;9;casa;proprio;3+;3+;4;2;2a4SM;2a4SM;NC;Falecido;NC;Aposentada;5-ruidopouco;5;99;Fernanda Guirelli;01h05min23seg;7;7;8
P;P;S;AP;AP;S;<0> acostuma <A> viu a gente;acostuma <P>;com tudo que é ruim;acostuma;a-ko$-'tu-ma;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2018MB+_MatheusA;2018;00:20:22.639;MB+;PB;MatheusA;masculino;50;2a.3a;fund1;fund;Trabalha com a parte industrial em empresa;2,17;C2;baixa;media;20;20+;30;10+;60;maismetade;Soledade;Paulinia;trabalho;metade;alguns;nao;alguns;1xmes;nunca;todo.dia;1xano;estado.origem;9;9;10;8;3;9;casa;proprio;3+;3+;4;2;2a4SM;2a4SM;NC;Falecido;NC;Aposentada;5-ruidopouco;5;99;Fernanda Guirelli;01h05min23seg;7;7;8
P;P;S;AP;AP;S;"sei o quê"" é porque é";acostumada <P>;na cidade né | S;acostumada;a-ko$-tu-'ma-da;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2017FB-_JosileideS;2017;00:20:22.639;FB-;AL;JosileideS;feminino;33;1a;fund1;fund;auxiliar-cozinha;1,1;E;baixa;baixa;31;20+;1;9-;0;ate1quarto;Taquarana;Campinas;trabalho;maioria;nao;nao;alguns;tododia;as.vezes;1xmes;nunca;estado.origem;10;0;10;10;5;10;casa;alugado;2;1;4;2;1SM;1a2SM;analfabeto;agricultor;analfabeto;agricultora;2-ruidoalto;5;73;Fernanda Guirelli;01h24min24seg;5;7;7
A;A;S;AP;AP;S;lá | S eh | S;acostumado <A>;ganhar tão pouco chega aqui;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2016MA+_JefersonL;2016;00:20:28.126;MA+;AL;JefersonL;masculino;32;1a;fund1;fund;Construtor-pedreiro;1,47;E;baixa;baixa;15;19-;17;10+;53;maismetade;Coité do Noia;Sumare;trabalho;nenhum;nao;nao;varios;1xsemana;sempre;1xsemana;nunca;outro;10;5;10;9;7;10;casa;alugado;2;1;4;2;1a2SM;1a2SM;analfabeto;Agricultor;fund1;Doméstica;NA;NA;NA;Livia Oushiro (2018)/Lucas Eberle (2016);00h31min46seg;2;2;6
P;P;S;AP;AP;S;lá eh | S que é;acostumado <P>;com o clima de lá;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2017MA-_WellingtonF;2017;00:20:31.570;MA-;AL;WellingtonF;masculino;21;1a;medio;medio.superior;Garçom;2,67;C1;media;media;19;19-;2;9-;10;ate1quarto;Arapiraca;Campinas;trabalho;maioria;nao;varios;varios;tododia;sempre;todo.dia;1xano;outro;10;1;10;9;0;10;outro;alugado;2;1;6+;NC;1a2SM;NC;NC;NC;NC;NC;3-ruidomedio;5;84;Fernanda Guirelli;00h47min40seg;13;13;10
P;P;S;AP;AP;S;eu pego sotaque eu | S;acostumado <P>;a falar com os <A>;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2017MA-_WellingtonF;2017;00:20:33.310;MA-;AL;WellingtonF;masculino;21;1a;medio;medio.superior;Garçom;2,67;C1;media;media;19;19-;2;9-;10;ate1quarto;Arapiraca;Campinas;trabalho;maioria;nao;varios;varios;tododia;sempre;todo.dia;1xano;outro;10;1;10;9;0;10;outro;alugado;2;1;6+;NC;1a2SM;NC;NC;NC;NC;NC;3-ruidomedio;5;84;Fernanda Guirelli;00h47min40seg;13;13;10
P;P;S;AP;AP;S;| S e eu estou <E>;acostumado <P>;em ver essas <A> coisa;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2017MA-_WellingtonF;2017;00:20:33.310;MA-;AL;WellingtonF;masculino;21;1a;medio;medio.superior;Garçom;2,67;C1;media;media;19;19-;2;9-;10;ate1quarto;Arapiraca;Campinas;trabalho;maioria;nao;varios;varios;tododia;sempre;todo.dia;1xano;outro;10;1;10;9;0;10;outro;alugado;2;1;6+;NC;1a2SM;NC;NC;NC;NC;NC;3-ruidomedio;5;84;Fernanda Guirelli;00h47min40seg;13;13;10
P;P;S;AP;AP;S;como assim a gente está <E>;acostumado <P>;assim | S tipo eu;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2018FB-_VeronicaS;2018;00:20:42.307;FB-;AL;VeronicaS;feminino;42;2a.3a;fund2;fund;faz tudo em uma empresa que produz isopor;2,38;C2;baixa;media;38;20+;4;9-;10;ate1quarto;Marechal Deodoro;Holambra;trabalho;poucos;varios;alguns;alguns;tododia;nunca;todo.dia;nunca;SP;10;5;10;10;8;10;casa;alugado;3+;2;6+;NC;4a10SM;4a10SM;NC;vigilante;NC;donadecasa;2-ruidoalto;5;94;Andreza Parra;01h01min47seg;5;7;6
P;P;S;AP;AP;S;| S porque você sai lá;acostumado <P>;assim a sair na pracinha;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2018MA-_FabianoJ;2018;00:21:06.518;MA-;AL;FabianoJ;masculino;22;1a;medio;medio.superior;manutenção de estufa;2;D;baixa;baixa;19;19-;2;9-;9;ate1quarto;Girau do Ponciano;Holambra;trabalho;maioria;alguns;alguns;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;9;1;10;5;3;8;casa;alugado;3+;NC;4;3;1SM;2a4SM;NC;pedreiro;NC;donadecasa;2-ruidoalto;5;91;Andreza Parra;00h58min30seg;9;9;11
A;A;S;AP;AP;S;| S que eu já tinha;acostumado <A>;eu queria | S né?;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2018MA+_WalterN;2018;00:21:08.646;MA+;AL;WalterN;masculino;24;1a;medio;medio.superior;Garçom;2,25;C2;baixa;media;13;19-;12;10+;50;de1a2quartos;Girau do Ponciano;Holambra;trabalho;maioria;nao;nao;alguns;1xmes;nunca;todo.dia;nunca;SP;5;8;6;10;2;6;casa;alugado;2;1;4;3;1a2SM;2a4SM;NC;NC;NC;donadecasa;4-ruidobaixo;5;94;Andreza Parra;01h55min14seg;5;7;4
A;A;S;AP;AP;S;o trabalho foi tranquilo | S;acostumado <A>;com o trabalho pesado só;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2018MA+_WalterN;2018;00:21:12.579;MA+;AL;WalterN;masculino;24;1a;medio;medio.superior;Garçom;2,25;C2;baixa;media;13;19-;12;10+;50;de1a2quartos;Girau do Ponciano;Holambra;trabalho;maioria;nao;nao;alguns;1xmes;nunca;todo.dia;nunca;SP;5;8;6;10;2;6;casa;alugado;2;1;4;3;1a2SM;2a4SM;NC;NC;NC;donadecasa;4-ruidobaixo;5;94;Andreza Parra;01h55min14seg;5;7;4
P;P;S;AP;AP;S;dó | S eu que sou;acostumado <P>;aqui eh moro aqui no;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2018MB+_EraldoF;2018;00:21:12.579;MB+;AL;EraldoF;masculino;38;2a.3a;fund1;fund;Mecânico;1,54;E;baixa;baixa;21;20+;17;10+;45;de1a2quartos;Jaramataia;Campinas;trabalho;nenhum;nao;alguns;varios;tododia;sempre;1xsemana;menos1xano;SP;9;1;9;10;10;10;casa;proprio;2;NC;3;2;1a2SM;2a4SM;analfabeto;aposentado–trabalhadorrural;analfabeto;aposentada–NC;5-ruidopouco;5;96;Eneida Leal;00h45min26seg;3;7;8
A;A;S;AP;AP;S;porque né? assim eu já sou;acostumado <A>;eu posso passar | S;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2018MA-_JonasP;2018;00:21:24.060;MA-;PB;JonasP;masculino;23;1a;medio;medio.superior;Agricultor;2,17;C2;baixa;media;17;19-;6;9-;26;de1a2quartos;Nova Holinda;EngenheiroCoelho;trabalho;maioria;varios;alguns;alguns;tododia;nunca;todo.dia;menos1xano;estado.origem;10;0;10;10;9;10;casa;alugado;2;1;3;2;1a2SM;1a2SM;NC;NC;NC;NC;3-ruidomedio;5;91;Marina Russo;00h52min16seg;10;10;9
P;P;S;AP;AP;S;feio porque a gente não é;acostumado <P>;a ouvir e quando a;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2018MA-_JonasP;2018;00:21:51.608;MA-;PB;JonasP;masculino;23;1a;medio;medio.superior;Agricultor;2,17;C2;baixa;media;17;19-;6;9-;26;de1a2quartos;Nova Holinda;EngenheiroCoelho;trabalho;maioria;varios;alguns;alguns;tododia;nunca;todo.dia;menos1xano;estado.origem;10;0;10;10;9;10;casa;alugado;2;1;3;2;1a2SM;1a2SM;NC;NC;NC;NC;3-ruidomedio;5;91;Marina Russo;00h52min16seg;10;10;9
P;P;S;AP;AP;S;dia | S aí eu fui;acostumando <P>;acostumando <P> (e foi nossa;acostumando;a-ko$-tu-'mA-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;ALCP_2017MA-_WellingtonF;2017;00:21:55.258;MA-;AL;WellingtonF;masculino;21;1a;medio;medio.superior;Garçom;2,67;C1;media;media;19;19-;2;9-;10;ate1quarto;Arapiraca;Campinas;trabalho;maioria;nao;varios;varios;tododia;sempre;todo.dia;1xano;outro;10;1;10;9;0;10;outro;alugado;2;1;6+;NC;1a2SM;NC;NC;NC;NC;NC;3-ruidomedio;5;84;Fernanda Guirelli;00h47min40seg;13;13;10
P;P;S;AP;AP;S;S aí eu fui acostumando <P>;acostumando <P>;(e foi nossa senhora) aí;acostumando;a-ko$-tu-'mA-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;ALCP_2017MA-_WellingtonF;2017;00:22:11.608;MA-;AL;WellingtonF;masculino;21;1a;medio;medio.superior;Garçom;2,67;C1;media;media;19;19-;2;9-;10;ate1quarto;Arapiraca;Campinas;trabalho;maioria;nao;varios;varios;tododia;sempre;todo.dia;1xano;outro;10;1;10;9;0;10;outro;alugado;2;1;6+;NC;1a2SM;NC;NC;NC;NC;NC;3-ruidomedio;5;84;Fernanda Guirelli;00h47min40seg;13;13;10
P;P;S;AP;AP;S;aí eu estou <E> aprendendo já;acostumando <P>;já com o jeito daqui;acostumando;a-ko$-tu-'mA-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;ALCP_2018FB-_VeronicaS;2018;00:22:13.458;FB-;AL;VeronicaS;feminino;42;2a.3a;fund2;fund;faz tudo em uma empresa que produz isopor;2,38;C2;baixa;media;38;20+;4;9-;10;ate1quarto;Marechal Deodoro;Holambra;trabalho;poucos;varios;alguns;alguns;tododia;nunca;todo.dia;nunca;SP;10;5;10;10;8;10;casa;alugado;3+;2;6+;NC;4a10SM;4a10SM;NC;vigilante;NC;donadecasa;2-ruidoalto;5;94;Andreza Parra;01h01min47seg;5;7;6
A;A;S;AP;AP;S;quando a gente está <E> se;acostumando <A>;de novo | D1 aí;acostumando;a-ko$-tu-'mA-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;ALCP_2018FB-_VeronicaS;2018;00:23:08.381;FB-;AL;VeronicaS;feminino;42;2a.3a;fund2;fund;faz tudo em uma empresa que produz isopor;2,38;C2;baixa;media;38;20+;4;9-;10;ate1quarto;Marechal Deodoro;Holambra;trabalho;poucos;varios;alguns;alguns;tododia;nunca;todo.dia;nunca;SP;10;5;10;10;8;10;casa;alugado;3+;2;6+;NC;4a10SM;4a10SM;NC;vigilante;NC;donadecasa;2-ruidoalto;5;94;Andreza Parra;01h01min47seg;5;7;6
A;A;S;AP;AP;S;D1 sim | S você acaba;acostumando <A>;| D1 isso é/ isso;acostumando;a-ko$-tu-'mA-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;ALCP_2018MA-_FabianoJ;2018;00:23:11.829;MA-;AL;FabianoJ;masculino;22;1a;medio;medio.superior;manutenção de estufa;2;D;baixa;baixa;19;19-;2;9-;9;ate1quarto;Girau do Ponciano;Holambra;trabalho;maioria;alguns;alguns;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;9;1;10;5;3;8;casa;alugado;3+;NC;4;3;1SM;2a4SM;NC;pedreiro;NC;donadecasa;2-ruidoalto;5;91;Andreza Parra;00h58min30seg;9;9;11
P;P;S;AP;AP;S;dentro da empresa aí você vai;acostumando <P>;a falar sabia? | D1;acostumando;a-ko$-tu-'mA-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2017FB-_JoelmaM;2017;00:23:11.829;FB-;PB;JoelmaM;feminino;33;1a;medio;medio.superior;Auxiliar de Produção;3;C1;media;media;33;20+;0;9-;0;ate1quarto;Soledade;Paulinia;trabalho;nenhum;alguns;alguns;varios;1xmes;nunca;todo.dia;1xano;estado.origem;10;2;10;10;10;10;casa;alugado;3+;3+;4;3;2a4SM;2a4SM;NC;Aposentada;NC;Aposentado;5-ruidopouco;5;97;Fernanda Guirelli;00h44min46seg;6;9;8
P;P;S;AP;AP;S;eu acho que eu não vou;acostumar <P>;| D1 aham | S;acostumar;a-ko$-tu-'mar;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;ALCP_2017MA-_WellingtonF;2017;00:23:13.627;MA-;AL;WellingtonF;masculino;21;1a;medio;medio.superior;Garçom;2,67;C1;media;media;19;19-;2;9-;10;ate1quarto;Arapiraca;Campinas;trabalho;maioria;nao;varios;varios;tododia;sempre;todo.dia;1xano;outro;10;1;10;9;0;10;outro;alugado;2;1;6+;NC;1a2SM;NC;NC;NC;NC;NC;3-ruidomedio;5;84;Fernanda Guirelli;00h47min40seg;13;13;10
P;P;S;AP;AP;S;menina eu | S pra eu;acostumar <P>;ainda estou <E> tentando me;acostumar;a-ko$-tu-'mar;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;ALCP_2018FB-_VeronicaS;2018;00:23:21.393;FB-;AL;VeronicaS;feminino;42;2a.3a;fund2;fund;faz tudo em uma empresa que produz isopor;2,38;C2;baixa;media;38;20+;4;9-;10;ate1quarto;Marechal Deodoro;Holambra;trabalho;poucos;varios;alguns;alguns;tododia;nunca;todo.dia;nunca;SP;10;5;10;10;8;10;casa;alugado;3+;2;6+;NC;4a10SM;4a10SM;NC;vigilante;NC;donadecasa;2-ruidoalto;5;94;Andreza Parra;01h01min47seg;5;7;6
P;P;S;AP;AP;S;<P> ainda estou <E> tentando me;acostumar <P>;... falar igual o povo;acostumar;a-ko$-tu-'mar;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;ALCP_2018FB-_VeronicaS;2018;00:23:21.393;FB-;AL;VeronicaS;feminino;42;2a.3a;fund2;fund;faz tudo em uma empresa que produz isopor;2,38;C2;baixa;media;38;20+;4;9-;10;ate1quarto;Marechal Deodoro;Holambra;trabalho;poucos;varios;alguns;alguns;tododia;nunca;todo.dia;nunca;SP;10;5;10;10;8;10;casa;alugado;3+;2;6+;NC;4a10SM;4a10SM;NC;vigilante;NC;donadecasa;2-ruidoalto;5;94;Andreza Parra;01h01min47seg;5;7;6
P;P;S;AP;AP;S;gente | S tem que se;acostumar <P>;com o ritmo daqui né;acostumar;a-ko$-tu-'mar;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;ALCP_2018MB-_RicardoR;2018;00:23:21.393;MB-;AL;RicardoR;masculino;27;1a;fund2;fund;Balconista de bar;1,92;D;baixa;baixa;23;20+;0;9-;0;ate1quarto;Arapiraca;Holambra;trabalho;maioria;varios;varios;nao;nunca;sempre;1xmes;1xano;estado.origem;9;3;10;10;8;10;outro;alugado;2;1;2;1;1a2SM;1a2SM;analfabeto;NC;analfabeto;agricultora;2-ruidoalto;5;94;Marina Russo;00h48min14seg;8;10;7
A;A;S;AP;AP;S;<A> até que eles <A> se;acostumaram <A>;comigo sabe | D1 aham;acostumaram;a-ko$-tu-'ma-RA;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:26.612;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
P;P;S;AP;AP;S;não? | S gosto <P> eu;acostumei <P>;| S foi a primeira;acostumei;a-ko$-tu-'mej;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;ALCP_2017FB-_LucimaraF;2017;00:23:29.883;FB-;AL;LucimaraF;feminino;38;2a.3a;medio;medio.superior;Dona de casa;1,63;D;baixa;baixa;35;20+;3;9-;8;ate1quarto;Arapiraca;Campinas;familia;maioria;nao;nao;nao;tododia;as.vezes;1xmes;menos1xano;estado.origem;10;0;10;7;3;10;casa;proprio;2;2;4;2;NC;1a2SM;NC;Agricultor;NC;Agricultora;3-ruidomedio;5;93;Fernanda Guirelli;00h53min21seg;9;9;8
P;P;S;AP;AP;S;que (gosto) <P> que eu já;acostumei <P>;| S se eu chegar;acostumei;a-ko$-tu-'mej;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;ALCP_2017MA-_WellingtonF;2017;00:23:29.883;MA-;AL;WellingtonF;masculino;21;1a;medio;medio.superior;Garçom;2,67;C1;media;media;19;19-;2;9-;10;ate1quarto;Arapiraca;Campinas;trabalho;maioria;nao;varios;varios;tododia;sempre;todo.dia;1xano;outro;10;1;10;9;0;10;outro;alugado;2;1;6+;NC;1a2SM;NC;NC;NC;NC;NC;3-ruidomedio;5;84;Fernanda Guirelli;00h47min40seg;13;13;10
A;A;S;AP;AP;S;D1 você acostumou? | S eu;acostumei <A>;eu tenho meu trabalho aqui;acostumei;a-ko$-tu-'mej;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2018FA+_PenelopeM;2018;00:23:32.673;FA+;PB;PenelopeM;feminino;25;1a;superior;medio.superior;Trabalha no RH de uma empresa;3,19;B2;media;media;10;19-;15;10+;60;maismetade;Juazeirinho;Paulinia;familia;nenhum;nao;nao;alguns;1xsemana;as.vezes;1xmes;nunca;outro;8;0;8;10;7;5;casa;alugado;2;1;2;2;2a4SM;2a4SM;NC;NC;medio;Diarista;5-ruidopouco;4;89;Fernanda Guirelli;00h37min57seg;4;5;4
P;P;S;AP;AP;S;não falo do jeito porque eu;acostumei <P>;| S então | S;acostumei;a-ko$-tu-'mej;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2018MA-_JonasP;2018;00:23:37.271;MA-;PB;JonasP;masculino;23;1a;medio;medio.superior;Agricultor;2,17;C2;baixa;media;17;19-;6;9-;26;de1a2quartos;Nova Holinda;EngenheiroCoelho;trabalho;maioria;varios;alguns;alguns;tododia;nunca;todo.dia;menos1xano;estado.origem;10;0;10;10;9;10;casa;alugado;2;1;3;2;1a2SM;1a2SM;NC;NC;NC;NC;3-ruidomedio;5;91;Marina Russo;00h52min16seg;10;10;9
